iso_code,location,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
KEN,Kenya,2021-12-27,9629145.0,6480683.0,3957505.0,,35035.0,79535.0,17.51,11.79,7.2,,1446.0,61852.0,0.11199999999999999
KGZ,Kyrgyzstan,2021-12-28,2243125.0,1225902.0,994171.0,,9880.0,7749.0,33.84,18.49,15.0,,1169.0,3979.0,0.06
KHM,Cambodia,2021-12-28,30336200.0,14253170.0,13645320.0,3490861.0,50560.0,52017.0,179.01,84.11,80.52,20.6,3069.0,2766.0,0.016
KIR,Kiribati,2021-11-30,82167.0,59492.0,22675.0,,,617.0,67.69,49.01,18.68,,5083.0,118.0,0.09699999999999999
KNA,Saint Kitts and Nevis,2021-12-22,54253.0,27523.0,25400.0,1330.0,626.0,59.0,101.32,51.4,47.44,2.48,1102.0,12.0,0.022000000000000002
KOR,South Korea,2021-12-28,101621599.0,44115185.0,42432990.0,16582758.0,676108.0,581954.0,198.07,85.99,82.71,32.32,11343.0,55280.0,0.10800000000000001
KWT,Kuwait,2021-12-28,6942690.0,3334421.0,3216700.0,380911.0,11920.0,18743.0,160.39,77.03,74.31,8.8,4330.0,1077.0,0.025
LAO,Laos,2021-11-23,5830021.0,3744740.0,3099003.0,,13946.0,18536.0,79.0,50.75,42.0,,2512.0,18953.0,0.257
LBN,Lebanon,2021-12-28,4337358.0,2230709.0,1819090.0,287559.0,38490.0,15081.0,64.08,32.95,26.87,4.25,2228.0,7654.0,0.113
LBR,Liberia,2021-12-15,880313.0,784838.0,755263.0,,8242.0,39207.0,16.99,15.15,14.58,,7569.0,25624.0,0.495
LBY,Libya,2021-12-27,2664009.0,1847082.0,816927.0,,48231.0,7469.0,38.28,26.54,11.74,,1073.0,3301.0,0.047
LCA,Saint Lucia,2021-12-24,104462.0,55518.0,48944.0,,45.0,123.0,56.65,30.11,26.54,,667.0,31.0,0.017
LIE,Liechtenstein,2021-12-27,62936.0,26141.0,25577.0,12123.0,0.0,147.0,164.52,68.34,66.86,31.69,3843.0,9.0,0.024
LKA,Sri Lanka,2021-12-28,33369982.0,15985385.0,13833773.0,3550824.0,166871.0,132358.0,155.23,74.36,64.35,16.52,6157.0,2200.0,0.01
LSO,Lesotho,2021-12-16,688097.0,648817.0,641007.0,,,6527.0,31.87,30.05,29.69,,3023.0,2768.0,0.128
LTU,Lithuania,2021-12-28,4083697.0,1913150.0,1827851.0,611805.0,22175.0,11096.0,151.82,71.12,67.95,22.74,4125.0,1021.0,0.038
LUX,Luxembourg,2021-12-26,1045759.0,461651.0,429705.0,183251.0,61.0,4503.0,164.73,72.72,67.69,28.87,7093.0,420.0,0.066
LVA,Latvia,2021-12-28,2530212.0,1310530.0,1257744.0,240609.0,10186.0,6115.0,135.53,70.2,67.37,12.89,3275.0,790.0,0.042
MAC,Macao,2021-12-27,967344.0,492243.0,459583.0,,2656.0,1229.0,146.93,74.76,69.8,,1867.0,197.0,0.03
MAR,Morocco,2021-12-27,50265580.0,24630172.0,22994609.0,,68921.0,63423.0,134.6,65.95,61.57,,1698.0,4545.0,0.012
MCO,Monaco,2021-09-16,49980.0,26672.0,23308.0,,,103.0,126.47,67.49,58.98,,2606.0,32.0,0.081
MDA,Moldova,2021-12-28,1764035.0,989897.0,978292.0,,6544.0,5178.0,43.84,24.6,24.31,,1287.0,1953.0,0.049
MDG,Madagascar,2021-12-06,742069.0,589003.0,541160.0,,13544.0,8090.0,2.61,2.07,1.9,,285.0,8047.0,0.027999999999999997
MDV,Maldives,2021-12-26,787873.0,396635.0,367068.0,24170.0,452.0,376.0,144.93,72.96,67.52,4.45,692.0,32.0,0.006
MEX,Mexico,2021-12-28,148562902.0,81915015.0,72711671.0,,6744716.0,12318.0,114.05,62.88,55.82,,95.0,155.0,0.0
MKD,North Macedonia,2021-12-19,1741245.0,840411.0,811664.0,89170.0,3869.0,2350.0,83.61,40.35,38.97,4.28,1128.0,514.0,0.025
MLI,Mali,2021-12-28,1057653.0,877525.0,392809.0,,,5924.0,5.07,4.21,1.88,,284.0,2908.0,0.013999999999999999
MLT,Malta,2021-12-27,1043069.0,441288.0,435397.0,198772.0,9536.0,3814.0,202.11,85.5,84.36,38.51,7390.0,401.0,0.078
